InvoiceNo,StockCode,Description,Category,Subcategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV-100075,ELEC-001,"Laptop Pro 15""",Electronics,Computers,43,2025-04-12 00:00:00,825.65,CUST-0050,France
INV-100076,ELEC-001,"Laptop Pro 15""",Electronics,Computers,15,2025-03-16 00:00:00,931.2,CUST-0065,Italy
INV-100077,ELEC-003,USB-C Cable,Electronics,Accessories,20,2024-11-19 00:00:00,13.16,CUST-0069,Austria
INV-100078,CLOTH-003,Winter Jacket,Clothing,Outerwear,20,2024-08-23 00:00:00,129.1,CUST-0055,Austria
INV-100079,ELEC-003,USB-C Cable,Electronics,Accessories,5,2024-10-18 00:00:00,14.24,CUST-0062,Spain
INV-100080,ELEC-002,Wireless Mouse,Electronics,Accessories,25,2023-11-18 00:00:00,32.42,CUST-0031,Switzerland
INV-100081,ELEC-004,Bluetooth Speaker,Electronics,Audio,43,2025-01-24 00:00:00,83.35,CUST-0077,Austria
INV-100082,ELEC-002,Wireless Mouse,Electronics,Accessories,11,2025-07-23 00:00:00,28.12,CUST-0092,Austria
INV-100083,ELEC-004,Bluetooth Speaker,Electronics,Audio,34,2024-07-14 00:00:00,76.59,CUST-0077,Belgium
INV-100084,CLOTH-002,Jeans Classic,Clothing,Bottoms,9,2025-03-27 00:00:00,52.77,CUST-0021,Belgium
INV-100085,CLOTH-003,Winter Jacket,Clothing,Outerwear,25,2024-06-27 00:00:00,132.96,CUST-0072,France
INV-100086,ELEC-001,"Laptop Pro 15""",Electronics,Computers,3,2025-04-27 00:00:00,826.18,CUST-0070,Netherlands
INV-100087,BOOK-001,Python Programming,Books,Technology,12,2025-07-30 00:00:00,36.98,CUST-0097,Portugal
INV-100088,CLOTH-001,Cotton T-Shirt,Clothing,Tops,45,2024-09-01 00:00:00,18.21,CUST-0063,Germany
INV-100089,SPORT-002,Running Shoes,Sports,Footwear,3,2025-08-05 00:00:00,92.39,CUST-0039,Switzerland
INV-100090,ELEC-003,USB-C Cable,Electronics,Accessories,2,2023-11-10 00:00:00,14.03,CUST-0073,Belgium
INV-100091,CLOTH-003,Winter Jacket,Clothing,Outerwear,7,2024-12-31 00:00:00,119.46,CUST-0091,Portugal
INV-100092,CLOTH-003,Winter Jacket,Clothing,Outerwear,10,2024-01-21 00:00:00,133.92,CUST-0028,Switzerland
INV-100093,SPORT-001,Yoga Mat,Sports,Fitness,23,2025-05-12 00:00:00,27.47,CUST-0050,France
INV-100094,ELEC-004,Bluetooth Speaker,Electronics,Audio,26,2025-02-06 00:00:00,82.32,CUST-0096,Spain
INV-100095,BOOK-001,Python Programming,Books,Technology,44,2024-08-15 00:00:00,40.64,CUST-0084,France
INV-100096,ELEC-001,"Laptop Pro 15""",Electronics,Computers,3,2024-06-03 00:00:00,827.08,CUST-0015,Spain
INV-100097,ELEC-002,Wireless Mouse,Electronics,Accessories,39,2023-11-04 00:00:00,30.68,CUST-0035,Spain
INV-100098,CLOTH-002,Jeans Classic,Clothing,Bottoms,26,2025-02-06 00:00:00,53.11,CUST-0004,Spain
INV-100099,CLOTH-002,Jeans Classic,Clothing,Bottoms,20,2023-10-10 00:00:00,46.03,CUST-0003,Italy
INV-100100,BOOK-001,Python Programming,Books,Technology,48,2025-04-16 00:00:00,39.15,CUST-0050,Switzerland
INV-100101,HOME-001,Coffee Maker,Home & Garden,Kitchen,34,2024-06-12 00:00:00,58.19,CUST-0083,France
INV-100102,ELEC-002,Wireless Mouse,Electronics,Accessories,37,2023-12-09 00:00:00,28.22,CUST-0031,Switzerland
INV-100103,ELEC-001,"Laptop Pro 15""",Electronics,Computers,34,2024-11-06 00:00:00,852.53,CUST-0058,Germany
INV-100104,ELEC-001,"Laptop Pro 15""",Electronics,Computers,36,2025-06-30 00:00:00,862.23,CUST-0042,Germany
INV-100105,SPORT-001,Yoga Mat,Sports,Fitness,10,2024-06-13 00:00:00,23.22,CUST-0019,Spain
INV-100106,HOME-001,Coffee Maker,Home & Garden,Kitchen,20,2025-08-03 00:00:00,56.16,CUST-0093,Portugal
INV-100107,CLOTH-002,Jeans Classic,Clothing,Bottoms,6,2024-10-25 00:00:00,54.43,CUST-0044,Belgium
INV-100108,SPORT-001,Yoga Mat,Sports,Fitness,35,2025-01-08 00:00:00,24.8,CUST-0039,Germany
INV-100109,CLOTH-003,Winter Jacket,Clothing,Outerwear,32,2024-07-03 00:00:00,133.78,CUST-0021,UK
INV-100110,CLOTH-003,Winter Jacket,Clothing,Outerwear,37,2023-09-16 00:00:00,130.08,CUST-0073,Spain
INV-100111,SPORT-001,Yoga Mat,Sports,Fitness,38,2025-01-10 00:00:00,23.41,CUST-0092,Germany
INV-100112,ELEC-003,USB-C Cable,Electronics,Accessories,16,2023-11-02 00:00:00,13.24,CUST-0072,Netherlands
INV-100113,ELEC-002,Wireless Mouse,Electronics,Accessories,28,2023-12-05 00:00:00,27.09,CUST-0005,Belgium
INV-100114,ELEC-002,Wireless Mouse,Electronics,Accessories,17,2024-12-24 00:00:00,32.09,CUST-0075,Italy
INV-100115,CLOTH-003,Winter Jacket,Clothing,Outerwear,38,2024-11-06 00:00:00,139.23,CUST-0013,Portugal
INV-100116,ELEC-004,Bluetooth Speaker,Electronics,Audio,-7,2023-09-05 00:00:00,87.38,CUST-0063,Netherlands
INV-100117,ELEC-003,USB-C Cable,Electronics,Accessories,8,2024-12-01 00:00:00,11.79,CUST-0011,France
INV-100118,CLOTH-003,Winter Jacket,Clothing,Outerwear,13,2024-12-05 00:00:00,137.99,CUST-0029,UK
INV-100119,CLOTH-002,Jeans Classic,Clothing,Bottoms,13,2024-10-02 00:00:00,49.56,CUST-0095,Switzerland
INV-100120,ELEC-001,"Laptop Pro 15""",Electronics,Computers,35,2025-06-17 00:00:00,948.81,CUST-0035,Italy
INV-100121,ELEC-003,USB-C Cable,Electronics,Accessories,40,2024-12-13 00:00:00,11.73,CUST-0030,Germany
INV-100122,ELEC-003,USB-C Cable,Electronics,Accessories,37,2024-02-13 00:00:00,13.81,CUST-0032,UK
INV-100123,HOME-001,Coffee Maker,Home & Garden,Kitchen,50,2023-12-07 00:00:00,57.47,CUST-0015,Switzerland
INV-100124,SPORT-002,Running Shoes,Sports,Footwear,44,2025-03-15 00:00:00,96.16,CUST-0094,Netherlands
INV-100125,SPORT-001,Yoga Mat,Sports,Fitness,35,2023-10-12 00:00:00,23.97,CUST-0015,Portugal
INV-100126,ELEC-004,Bluetooth Speaker,Electronics,Audio,20,2025-04-06 00:00:00,83.03,CUST-0033,France
INV-100127,ELEC-001,"Laptop Pro 15""",Electronics,Computers,38,2024-12-23 00:00:00,825.11,CUST-0047,Belgium
INV-100128,SPORT-002,Running Shoes,Sports,Footwear,45,2025-02-22 00:00:00,89.09,CUST-0022,Switzerland
INV-100129,ELEC-001,"Laptop Pro 15""",Electronics,Computers,29,2024-06-22 00:00:00,923.6,CUST-0034,Austria
INV-100130,SPORT-002,Running Shoes,Sports,Footwear,39,2023-11-24 00:00:00,94.11,CUST-0066,Switzerland
INV-100131,HOME-001,Coffee Maker,Home & Garden,Kitchen,15,2023-08-30 00:00:00,57.66,CUST-0051,Switzerland
INV-100132,HOME-001,Coffee Maker,Home & Garden,Kitchen,7,2023-10-21 00:00:00,59.54,CUST-0095,Netherlands
INV-100133,CLOTH-003,Winter Jacket,Clothing,Outerwear,13,2024-03-24 00:00:00,120.66,CUST-0010,Italy
INV-100134,ELEC-002,Wireless Mouse,Electronics,Accessories,49,2024-08-28 00:00:00,31.98,CUST-0098,Switzerland
INV-100135,SPORT-001,Yoga Mat,Sports,Fitness,3,2025-01-11 00:00:00,22.9,CUST-0025,Portugal
INV-100136,CLOTH-001,Cotton T-Shirt,Clothing,Tops,19,2024-07-25 00:00:00,20.12,CUST-0090,UK
INV-100137,SPORT-001,Yoga Mat,Sports,Fitness,19,2023-12-25 00:00:00,24.66,CUST-0044,Spain
INV-100138,HOME-001,Coffee Maker,Home & Garden,Kitchen,25,2025-04-25 00:00:00,60.49,CUST-0044,France
INV-100139,BOOK-001,Python Programming,Books,Technology,21,2024-01-10 00:00:00,41.49,CUST-0022,France
INV-100140,CLOTH-003,Winter Jacket,Clothing,Outerwear,9,2024-11-05 00:00:00,117.79,CUST-0092,UK
INV-100141,SPORT-001,Yoga Mat,Sports,Fitness,20,2024-10-07 00:00:00,23.36,CUST-0031,Italy
INV-100142,ELEC-002,Wireless Mouse,Electronics,Accessories,23,2025-02-14 00:00:00,30.01,CUST-0059,Austria
INV-100143,ELEC-003,USB-C Cable,Electronics,Accessories,30,2023-10-29 00:00:00,12.14,CUST-0098,Belgium
INV-100144,HOME-002,Desk Lamp,Home & Garden,Lighting,43,2024-03-26 00:00:00,35.44,CUST-0096,Belgium
INV-100145,BOOK-001,Python Programming,Books,Technology,33,2024-05-03 00:00:00,41.77,CUST-0084,Germany
INV-100146,ELEC-002,Wireless Mouse,Electronics,Accessories,37,2024-08-08 00:00:00,27.11,CUST-0047,Italy
INV-100147,BOOK-001,Python Programming,Books,Technology,15,2023-10-15 00:00:00,41.84,CUST-0072,Germany
INV-100148,CLOTH-002,Jeans Classic,Clothing,Bottoms,33,2025-04-17 00:00:00,46.06,CUST-0021,Germany
INV-100149,ELEC-002,Wireless Mouse,Electronics,Accessories,27,2024-02-02 00:00:00,30.37,CUST-0010,Italy
INV-100150,CLOTH-001,Cotton T-Shirt,Clothing,Tops,26,2024-04-27 00:00:00,21.51,CUST-0067,Italy
INV-100151,CLOTH-002,Jeans Classic,Clothing,Bottoms,48,2025-04-11 00:00:00,49.67,CUST-0042,Netherlands
INV-100152,ELEC-004,Bluetooth Speaker,Electronics,Audio,49,2024-12-23 00:00:00,82.48,CUST-0016,Portugal
INV-100153,CLOTH-002,Jeans Classic,Clothing,Bottoms,25,2023-08-22 00:00:00,54.62,CUST-0066,Italy
INV-100154,SPORT-002,Running Shoes,Sports,Footwear,5,2025-05-27 00:00:00,81.19,CUST-0074,Switzerland
INV-100155,BOOK-001,Python Programming,Books,Technology,33,2023-11-24 00:00:00,40.45,CUST-0006,France
INV-100156,CLOTH-002,Jeans Classic,Clothing,Bottoms,20,2023-10-05 00:00:00,49.18,CUST-0012,Switzerland
INV-100157,CLOTH-002,Jeans Classic,Clothing,Bottoms,32,2025-08-08 00:00:00,51.01,CUST-0018,Portugal
INV-100158,ELEC-001,"Laptop Pro 15""",Electronics,Computers,43,2025-04-02 00:00:00,826.29,CUST-0077,Italy
INV-100159,ELEC-003,USB-C Cable,Electronics,Accessories,23,2024-01-04 00:00:00,13.17,CUST-0056,France
INV-100160,CLOTH-003,Winter Jacket,Clothing,Outerwear,12,2024-01-27 00:00:00,141.83,CUST-0020,Austria
INV-100161,ELEC-003,USB-C Cable,Electronics,Accessories,20,2024-08-15 00:00:00,14.25,CUST-0067,Netherlands
INV-100162,CLOTH-001,Cotton T-Shirt,Clothing,Tops,31,2025-03-22 00:00:00,19.96,CUST-0007,UK
INV-100163,CLOTH-002,Jeans Classic,Clothing,Bottoms,18,2025-05-04 00:00:00,49.13,CUST-0003,Portugal
INV-100164,ELEC-003,USB-C Cable,Electronics,Accessories,2,2024-12-28 00:00:00,12.02,CUST-0004,Netherlands
INV-100165,ELEC-003,USB-C Cable,Electronics,Accessories,11,2024-12-29 00:00:00,12.96,CUST-0094,Switzerland
INV-100166,SPORT-002,Running Shoes,Sports,Footwear,20,2025-07-04 00:00:00,92.6,CUST-0029,UK
INV-100167,ELEC-002,Wireless Mouse,Electronics,Accessories,41,2024-01-26 00:00:00,30.22,CUST-0089,Belgium
INV-100168,ELEC-004,Bluetooth Speaker,Electronics,Audio,11,2024-05-26 00:00:00,76.88,CUST-0013,Italy
INV-100169,ELEC-001,"Laptop Pro 15""",Electronics,Computers,36,2024-02-06 00:00:00,816.79,CUST-0001,Austria
INV-100170,CLOTH-002,Jeans Classic,Clothing,Bottoms,29,2024-10-25 00:00:00,54.04,CUST-0031,Portugal
INV-100171,HOME-002,Desk Lamp,Home & Garden,Lighting,49,2025-02-24 00:00:00,36.63,CUST-0018,France
INV-100172,CLOTH-001,Cotton T-Shirt,Clothing,Tops,18,2025-04-13 00:00:00,18.98,CUST-0053,Italy
INV-100173,BOOK-001,Python Programming,Books,Technology,7,2024-10-17 00:00:00,38.88,CUST-0066,Netherlands
INV-100174,CLOTH-001,Cotton T-Shirt,Clothing,Tops,34,2025-02-14 00:00:00,18.77,CUST-0002,Belgium
INV-100175,CLOTH-001,Cotton T-Shirt,Clothing,Tops,37,2024-06-16 00:00:00,18.51,CUST-0031,Portugal
INV-100176,BOOK-001,Python Programming,Books,Technology,20,2025-07-11 00:00:00,42.39,CUST-0021,Belgium
INV-100177,ELEC-001,"Laptop Pro 15""",Electronics,Computers,5,2024-09-11 00:00:00,980.93,CUST-0031,Belgium
INV-100178,CLOTH-002,Jeans Classic,Clothing,Bottoms,38,2024-04-08 00:00:00,54.38,CUST-0079,Switzerland
INV-100179,ELEC-004,Bluetooth Speaker,Electronics,Audio,28,2024-05-31 00:00:00,76.92,CUST-0071,Italy
INV-100180,SPORT-001,Yoga Mat,Sports,Fitness,26,2025-04-16 00:00:00,24.92,CUST-0029,Switzerland
INV-100181,SPORT-001,Yoga Mat,Sports,Fitness,42,2023-09-19 00:00:00,26.7,CUST-0079,Belgium
INV-100182,HOME-002,Desk Lamp,Home & Garden,Lighting,31,2024-03-19 00:00:00,37.9,CUST-0069,Netherlands
INV-100183,ELEC-002,Wireless Mouse,Electronics,Accessories,22,2024-02-13 00:00:00,27.76,CUST-0030,France
INV-100184,SPORT-002,Running Shoes,Sports,Footwear,29,2024-07-08 00:00:00,92.45,CUST-0082,Switzerland
INV-100185,HOME-001,Coffee Maker,Home & Garden,Kitchen,47,2025-02-19 00:00:00,56.91,CUST-0047,UK
INV-100186,BOOK-001,Python Programming,Books,Technology,3,2024-06-24 00:00:00,40.63,CUST-0084,France
INV-100187,ELEC-002,Wireless Mouse,Electronics,Accessories,43,2023-11-13 00:00:00,27.59,CUST-0040,Belgium
INV-100188,ELEC-002,Wireless Mouse,Electronics,Accessories,42,2025-06-04 00:00:00,31.38,CUST-0010,Switzerland
INV-100189,ELEC-002,Wireless Mouse,Electronics,Accessories,42,2024-02-17 00:00:00,30.99,CUST-0004,Spain
INV-100190,ELEC-003,USB-C Cable,Electronics,Accessories,23,2024-04-19 00:00:00,13.11,CUST-0009,Germany
INV-100191,ELEC-003,USB-C Cable,Electronics,Accessories,13,2025-01-01 00:00:00,14.23,CUST-0063,Belgium
INV-100192,CLOTH-002,Jeans Classic,Clothing,Bottoms,26,2025-05-21 00:00:00,50.07,CUST-0079,Netherlands
INV-100193,CLOTH-003,Winter Jacket,Clothing,Outerwear,1,2025-01-06 00:00:00,131.36,CUST-0066,UK
INV-100194,HOME-001,Coffee Maker,Home & Garden,Kitchen,33,2024-10-10 00:00:00,58.45,CUST-0098,Netherlands
INV-100195,ELEC-003,USB-C Cable,Electronics,Accessories,9,2023-10-16 00:00:00,12.96,CUST-0049,Portugal
INV-100196,BOOK-001,Python Programming,Books,Technology,27,2024-04-08 00:00:00,42.76,CUST-0079,Netherlands
INV-100197,CLOTH-001,Cotton T-Shirt,Clothing,Tops,42,2023-09-17 00:00:00,18.49,CUST-0003,Portugal
INV-100198,CLOTH-002,Jeans Classic,Clothing,Bottoms,30,2024-03-14 00:00:00,51.46,CUST-0099,Italy
INV-100199,HOME-001,Coffee Maker,Home & Garden,Kitchen,8,2025-08-09 00:00:00,57.61,CUST-0038,Switzerland
INV-100200,SPORT-002,Running Shoes,Sports,Footwear,32,2023-12-02 00:00:00,96.34,CUST-0081,Germany
INV-100201,BOOK-001,Python Programming,Books,Technology,50,2023-08-16 00:00:00,41.52,CUST-0057,Netherlands
INV-100202,CLOTH-002,Jeans Classic,Clothing,Bottoms,11,2024-03-04 00:00:00,53.42,CUST-0047,Germany
INV-100203,ELEC-002,Wireless Mouse,Electronics,Accessories,18,2024-01-24 00:00:00,29.0,CUST-0089,Austria
INV-100204,BOOK-001,Python Programming,Books,Technology,18,2024-07-05 00:00:00,41.69,CUST-0004,Portugal
INV-100205,SPORT-002,Running Shoes,Sports,Footwear,17,2023-08-28 00:00:00,91.03,CUST-0059,UK
INV-100206,ELEC-001,"Laptop Pro 15""",Electronics,Computers,39,2025-07-23 00:00:00,831.93,CUST-0012,Belgium
INV-100207,CLOTH-001,Cotton T-Shirt,Clothing,Tops,6,2024-03-11 00:00:00,20.38,CUST-0004,Italy
INV-100208,CLOTH-003,Winter Jacket,Clothing,Outerwear,22,2025-03-21 00:00:00,126.35,CUST-0040,Austria
INV-100209,HOME-002,Desk Lamp,Home & Garden,Lighting,3,2024-03-08 00:00:00,33.29,CUST-0082,UK
INV-100210,SPORT-001,Yoga Mat,Sports,Fitness,20,2024-03-20 00:00:00,24.33,CUST-0089,Portugal
INV-100211,ELEC-001,"Laptop Pro 15""",Electronics,Computers,42,2025-05-27 00:00:00,949.13,CUST-0079,Spain
INV-100212,ELEC-003,USB-C Cable,Electronics,Accessories,3,2024-10-24 00:00:00,14.03,CUST-0080,UK
INV-100213,ELEC-002,Wireless Mouse,Electronics,Accessories,16,2025-06-12 00:00:00,29.62,CUST-0014,Switzerland
INV-100214,ELEC-002,Wireless Mouse,Electronics,Accessories,9,2024-08-29 00:00:00,29.47,CUST-0014,Switzerland
INV-100215,HOME-001,Coffee Maker,Home & Garden,Kitchen,42,2024-11-18 00:00:00,54.99,CUST-0028,Belgium
INV-100216,ELEC-001,"Laptop Pro 15""",Electronics,Computers,25,2025-04-10 00:00:00,867.42,CUST-0084,Switzerland
INV-100217,SPORT-002,Running Shoes,Sports,Footwear,22,2023-11-10 00:00:00,83.39,CUST-0006,Belgium
INV-100218,SPORT-001,Yoga Mat,Sports,Fitness,2,2024-10-04 00:00:00,22.82,CUST-0047,Switzerland
INV-100219,SPORT-001,Yoga Mat,Sports,Fitness,41,2023-09-15 00:00:00,23.21,CUST-0082,Spain
INV-100220,HOME-002,Desk Lamp,Home & Garden,Lighting,10,2024-04-18 00:00:00,34.64,CUST-0077,UK
INV-100221,ELEC-003,USB-C Cable,Electronics,Accessories,34,2023-12-16 00:00:00,13.09,CUST-0091,Germany
INV-100222,SPORT-001,Yoga Mat,Sports,Fitness,37,2024-12-31 00:00:00,22.96,CUST-0033,UK
INV-100223,CLOTH-001,Cotton T-Shirt,Clothing,Tops,4,2025-06-13 00:00:00,18.98,CUST-0009,France
